NEIGHBORHOOD,APN,LANDUSE,BESTSTAT,BESTDATE,NAMEADDR,Alias,CASENO,DESCRIPT,BPAPPLNO,PROPUSE,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FirstFiled,EntitledStatus,SPONSOR,CONTACT,CONTACTPH,PLANNER,SOURCE,SUPE_DIST,PLN_DISTRICT,PLN_AREA,HEIGHT,ZONING_SIM,ZONE_NAME,geography
Mission,APN 3631017,Resident,BP ISSUED,09/02/2015,987 DOLORES ST,,,,201405064989,1 FAMILY DWELLING,"ERECT 2-STORY, TYPE 5, 0 BASEMENT, SINGLE DWELLING UNIT BUILDING.",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/06/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Mission,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.75367075850, -122.42491730300)"
Outer Richmond,APN 1677004,Resident,BP APPROVED,08/05/2015,827 34TH AV,,,,201409095796,2 FAMILY DWELLING,1ST FLOOR: CONVERT PORTION OF THE 1ST FLLOR TO A DWELLING UNIT# 1 INCLUDING HORIZONTAL ADDITION @ TH,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/09/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.77342957500, -122.49425629000)"
Castro/Upper Market,APN 2691019,Resident,CONSTRUCTION,12/14/2015,72 CASELLI AV,,,,201407141153,APARTMENTS,CONVERT ILLEGAL DWELLING UNIT TO LEGAL UNIT PER ORDINANCE NO. 43-14. REVISION TO PA#201305308235. CO,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/14/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75993674570, -122.44097755100)"
Haight Ashbury,APN 1227003,Resident,CONSTRUCTION,11/20/2015,413 SHRADER ST,,,,201401176600,2 FAMILY DWELLING,REMODEL INTERIOR OF (E) BLDING AS INDICATED ON PLANS. REPLACE (E) WINDOWS WITH NEW WINDOWS TO MATCH,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/17/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,,40-X,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY","(37.77073881210, -122.45246114700)"
Western Addition,APN 0845027,Resident,BP FILED,08/22/2014,969 OAK ST,,2014.1188,"Add one dwelling unit to existing 2-unit building; raise building 36""; replace foundation; replace front steps; reconfigure existing garage entry; horizontal rear addition at all three stories.",201408224556,APARTMENTS,RAISE HOUSE TO INCREASE CEILING HEIGHT OF (E) GARAGE LEVEL. (N) DWELLING UNIT @ 1ST STORY W/ (N) KIT,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/31/2014,0,Troy Kashnipour,Troy Kashnipour,415.431.0869,,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,,40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.77313137490, -122.43517381100)"
Outer Mission,APN 6758032,Resident,BP ISSUED,05/15/2015,807 BOSWORTH ST,,2014.0486,Add a second dwelling unit to the front of the log.,201306280702,2 FAMILY DWELLING,DEMOL. (E) CONC. GARAGE IN FRONT OF LOT. CONST (N) SINGLE FAM RESIDENCE IN FRONT OF LOT LIVING KITCH,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/28/2013,-1,Paul Silberschatz Alyssa Sherman,David Bushnell,546-0450,JLOOK,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Ingleside,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.73366989260, -122.43612723400)"
Bernal Heights,APN 5529012,Resident,BP ISSUED,07/22/2015,88 MONTCALM ST,,,,201405307105,1 FAMILY DWELLING,TO ERECT 3 STORIES OF 1 FAMILY DWELLING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/30/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.74686801600, -122.40652763300)"
Bayview,APN 5426030,Resident,CONSTRUCTION,10/23/2015,2077 BANCROFT AV,,,,201405166001,1 FAMILY DWELLING,"TO ERECT 2 STORIES, NO BASEMENT, SINGLE FAMILY DWELLING BUILDING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/16/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.73046520690, -122.40191624800)"
Mission,APN 4084018,Resident,BP ISSUED,11/23/2015,2495 HARRISON ST,,2011.0079,Expansion of existing building for use as a community center.,201405226523,1 FAMILY DWELLING,"REAR BUILDING - ERECT 2-STORY, TYPE 5, SINGLE FAMILY DWELLING BUILDING.",1,1,0,0,0,-200,0,1200,0,0,0,0,0,0,0,-1400,0,0,05/22/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.75756931170, -122.41205483000)"
Excelsior,APN 6079029,Resident,BP FILED,05/13/2015,443 MADRID ST,,,,201505136188,2 FAMILY DWELLING,"NEW KITCHEN AREA ON 1ST FLOOR & LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. 1 BEDROOM,",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/13/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72230534530, -122.43194263400)"
Excelsior,APN 5910001,Resident,BP FILED,04/06/2015,212 CAMBRIDGE ST,,,,201504062891,2 FAMILY DWELLING,"LEGALIZE A 2ND UNPERMITTED UNIT. REINSTALL CABINET, SINK & STOVE IN KITCHEN, COMPLETE PLAN'G LANDSCA",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/06/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72863205350, -122.41959241900)"
Outer Sunset,APN 1774006,Resident,BP FILED,09/18/2014,1321 19TH AV,,,,201409186681,2 FAMILY DWELLING,REPAIR RELOCATE (E) LAUNDRY FIXTURES TO GARAGE. CONVERT (E) LAUNDRY TO KITCHEN AND CONVERT G/F TO LE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/18/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76306107040, -122.47746598800)"
Crocker Amazon,APN 6466015,Resident,BP ISSUED,12/22/2014,167 ALLISON ST,,,,201407070555,2 FAMILY DWELLING,"LEGALIZE IN-LAW UNIT AT FIRST FLOOR PER ORDINANCE 43-14. TO COMPLY W/DBI NOV#20147591.
",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/07/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71291978140, -122.44148808700)"
Excelsior,APN 6080027,Resident,CONSTRUCTION,01/11/2016,379 LISBON ST,,,,201408194209,2 FAMILY DWELLING,REVISE APP#201406198871 TO LEGALIZE DWELLING UNIT INSTALLED WITHOUT PERMIT UNDER ORDINANCE NO 43-14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/19/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72221531070, -122.43310048200)"
Outer Richmond,APN 1524018A,Resident,BP ISSUED,10/22/2015,2930 ANZA ST,,,,201504244517,2 FAMILY DWELLING,HORIZONTAL EXTENSION ONLY OF ENLARGING AN (E) 2 STORIES. 1 UNIT RES'D BLDG TO A 2 UNITS RES'D BLDG.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/24/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.77862753280, -122.47988421400)"
Excelsior,APN 6075001B,Resident,BP ISSUED,04/17/2015,824 BRAZIL AV,,,,201408063205,2 FAMILY DWELLING,"COVERT (E) STORAGE ROOM TO BE FAMILY ROOM, BED ROOM WITH FULL BATH & KITCHEN AT GROUND FLOOR. REMODE",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/06/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.72127678850, -122.42810778400)"
Inner Richmond,APN 1547004,Resident,BP FILED,04/30/2015,515 04TH AV,,,,201504305019,APARTMENTS,LEGALIZATION OF (E)  UNAUTHORIZED DWELLING UNIT BY ADD OE KITCHEN.  (UNIT LEGALIZATION ORDINANCE 43-,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/30/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.77883373690, -122.46226257200)"
South of Market,APN 3753075,Resident,BP FILED,03/31/2015,268 CLARA ST.,,2015-004334PRJ,Add two stories to existing two-story building. Add one residence and one parking space. No change to existing commercial/warehouse building.,201503312413,1 FAMILY DWELLING,ALTERATION TO (E) TYPE-N BLDG. VERTICAL ADDITION OF RES'D DWELLING UNIT. THE GROUND FLOOR & SECOND FLOOR ARE (E) TYPE-N CONSTRUCTION. 3RD & 4TH FLOOR. SHALL BE TYPE V-A CONSTRUCTION. ADDITION OF 1 KITCHEN & 2.5 BATHS. 3 BEDROOMS. ** MAHER: N/A **,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/31/2015,-1,,,,KDURANDE,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Central SoMa / East SoMa (EN) / South of Market,45-X,MUR,MIXED USE-RESIDENTIAL,"(37.77835577900, -122.40405670100)"
Excelsior,APN 5949008,Resident,BP ISSUED,03/26/2015,54 NAPLES ST,,,,201407252175,2 FAMILY DWELLING,UNIT LEGALIZATION PER ORDINANCE 43-14. COMPLY WITH NOV 201467981. REBUILD IN KIND REAR DECK WITH PRE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/25/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72794202450, -122.42618600100)"
Bayview,APN 5428D037,Resident,BP FILED,07/23/2014,108 ORSI CR,,,,201407231943,2 FAMILY DWELLING,"LEGALIZEING PERVIOUS BUILT W/O PERMIT. CONVERT PATIO GARAGE TO 2ND UNIT. 1 BEDROOM, 1 BATH & KITCHEN",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/23/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,65-J,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72821050510, -122.39821842900)"
Outer Mission,APN 3146021,Resident,BP FILED,08/06/2014,331 CAPISTRANO AV,,,,201408063132,2 FAMILY DWELLING,LEGALIZE DWELLING UNIT WITHOUT PERMIT PER ORDINANCE NO 43-14. CONVERT LAUNDRY ROOM TO KITCHEN. (N) 1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/06/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72617474500, -122.43805825600)"
Outer Mission,APN 3116023,Resident,BP FILED,09/26/2014,300 FOERSTER ST,,,,201409267403,2 FAMILY DWELLING,LEGALIZATION OF 2 UNIT . ORDINANCE 43-14.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/26/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Ingleside,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.73082173540, -122.44858557800)"
Ocean View,APN 7173011,Resident,BP ISSUED,01/07/2016,60 SANTA BARBARA AV,,2014.1477,Construct three-story single-family residence on vacant lot.,201404173481,1 FAMILY DWELLING,"ERECT 3-STORY, TYPE 5, NO BASEMENT, SINGLE FAMILY DWELLING UNIT BLDG.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/17/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.70836647830, -122.46515853600)"
Bayview,APN 4991264,Resident,BP FILED,08/01/2014,88 LE CONTE CR,,,,201408012759,2 FAMILY DWELLING,"REMODEL GROUND FLOOR, BUILD OUT REAR OF GROUND FLOOR TO A MULTI-UNIT ROOM/STUDIO WITH BATHROOM & 2ND",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/01/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Bayview Hunters Point,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.71788671330, -122.39473027000)"
Visitacion Valley,APN 6233003,Resident,BP FILED,06/24/2015,306 ARLETA AV,,,,201506249813,2 FAMILY DWELLING,LEGALIZATION OF IN-LAW UNIT.  757.8 SQ FT PRE-BUILT BASEMENT LEVEL WITHOUT PERMIT. SCOPE CONSISTS OF,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/24/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71474160580, -122.40900763800)"
Castro/Upper Market,APN 2623074,Resident,PL FILED,01/31/2014,53 STATES ST,,2014.0177,Mandatory Discretionary Review for the Demo/Reconstruction of a Single Family Dwelling to a Two Unit Building with parking.,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/31/2014,0,Marvin & Elisabeth Tien,Jill Allen,415-558-9550,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Buena Vista,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76317626280, -122.43645582500)"
Excelsior,APN 5938049,Resident,BP ISSUED,12/30/2015,1315 SILLIMAN ST,,,,201504214240,2 FAMILY DWELLING,"UNIT LEGALIZATION PER ORDINANCE 43-14 (EXISTING 1/F FAMILY ROOM, BEDROOM AND BATHROOM, STORAGE ROOM",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/21/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72762100280, -122.41816512000)"
Presidio Heights,APN 1068014,Resident,BP APPROVED,10/08/2014,30 BLAKE ST,,,,201404234009,2 FAMILY DWELLING,VERTICAL ADDITION. REMODEL AND NEW UNIT TO BE ADDED UP TOP. ALSO INCL A 2-STORY ADDITION IN REAR. FO,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/23/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.78324545710, -122.45105973200)"
Bernal Heights,APN 5710027,Resident,PL FILED,04/15/2015,11 GLADYS ST,,2015-004717PRJ,Vertical addition to both the rear and front setbacks to permit an additional dwelling unit.,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/15/2015,0,,OLIVER ROBERT R,4154123664,SMENDRIN,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.73999669630, -122.42230732100)"
Castro/Upper Market,APN 2614048,Resident,BP FILED,02/25/2014,259 ROOSEVELT WY,,2014.0445,Discretionary Review for the demolition and reconstruction project to remove one existing dwelling unit and replace it with a two unit structure.,201402259241,,DEMOLISH 2 STORIES SINGLE FAMILY RESIDENCE.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/25/2014,0,Andrew J Greene,Warner Schmalz,415-252-7063,,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Buena Vista,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76567209830, -122.44026438300)"
Excelsior,APN 6402031,Resident,BP FILED,04/21/2015,919 ATHENS ST,,,,201504214148,2 FAMILY DWELLING,"LEGALIZE IN-LAW UNIT @ 1ST FLOOR PER ORDINANCE 43-14. ADD 2 BEDROOMS, 1 KITCHEN & 2 BATHROOMS.",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/21/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71435524850, -122.43358884000)"
Inner Richmond,APN 1168025,Resident,BP ISSUED,07/08/2015,2486 FULTON ST,,,,201404234011,APARTMENTS,"RENOVATION TO AN (E) 3 STORY BUILDING. TWO FAMILY RESIDENTIAL BLDG CONVERTING TO A FOUR STORY, 3 FAM",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/23/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.77456078080, -122.45801925100)"
Excelsior,APN 5864009,Resident,CONSTRUCTION,11/30/2015,931 SILVER AV,,,,201505206839,2 FAMILY DWELLING,"LEGALIZE EXISTING UNAUTHORIZED DWELLING UNIT UNDER ORDANCE #43-14. RELOCATE GROUND FL KITCHEN, BATH",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/20/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72903115850, -122.41686715000)"
Excelsior,APN 5890013A,Resident,BP FILED,05/13/2015,219 MAYNARD ST,,,,201505136194,2 FAMILY DWELLING,NEW KITCHEN AREA ON 1ST FLOOR & LEGALIZE IN-LAW DWELLING UNIT UNDER ORDINANCE NO# 43-14. ADD NEW KIT,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/13/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72964232020, -122.42556803800)"
Inner Richmond,APN 1417029,Resident,PL FILED,05/06/2014,228 17TH AV,,2014.0676,The proposal is to demolish the existing building and build a 3-story over basement duplex,,,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/06/2014,0,Jeremy  Schaub,Jeremy  Schaub,682-8060x103,SVELLVE,CASE TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.78374356110, -122.47607426500)"
Outer Mission,APN 3094055,Resident,CONSTRUCTION,11/30/2015,690 MONTEREY BL,,,,201404173519,2 FAMILY DWELLING,"CHANGE OF USE. CHANGE (E) OFFICE TO RESIDENTIAL UNIT AT 2ND FLOOR PER PLAN INCLUDING 3 BATHROOMS, 5",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/17/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Ingleside,,32-X,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER","(37.73180942770, -122.45085436800)"
Outer Sunset,APN 1729007,Resident,BP FILED,04/16/2014,1239 21ST AV,,,,201404163343,CHRISTMAS TREE LOT,"HORIZONTAL ADDITION & REMODEL ENTIRE HOUSE. WOODFRAME, SIDING, ELECTRIC, PLUMBING, CONCRETE FOUNDATI",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/16/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 4,Outer Sunset,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.76455979910, -122.47967199300)"
Western Addition,APN 0867031,Resident,BP APPROVED,01/14/2016,457 WALLER ST,,,,201404012185,1 FAMILY DWELLING,"ERECT 4-STORY, TYPE 5, 1 DWELLING UNIT BUILDING.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/01/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,Market and Octavia,40-X,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,"(37.77079797200, -122.43115891000)"
West of Twin Peaks,APN 2933007,Resident,BP FILED,05/29/2014,127 EDGEHILL WY,,2014.11,Construct a four-story single-family residence on a vacant lot.,201405296982,1 FAMILY DWELLING,TO ERECT 4 STORIES OF SINGLE FAMILY DWELLING,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/29/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED","(37.74329978310, -122.46014819700)"
Outer Richmond,APN 1622025,Resident,BP APPROVED,01/12/2016,668 23RD AV,,,,201405135633,2 FAMILY DWELLING,3RD STORY VERTICAL ADDITION OF 1085 SQ.FT. WITH 2 BEDROOMS & 2 BATHS. HORIZONTAL ADDITION @ REAR OF,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/13/2014,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.77517319830, -122.48190156300)"
Potrero Hill,APN 4219043,Resident,BP FILED,02/20/2014,1123 CAROLINA ST,,,,201402208929,2 FAMILY DWELLING,"CHANGE OF USE . ADD 1 NEW BEDROOM, BATHROOM, ADD 4 NEW WINDOWS, REPLACE 2 WINDOWS. CHANGE OF USE FRO",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/20/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.75430694870, -122.39931684200)"
Bernal Heights,APN 5841005,Resident,BP FILED,06/02/2015,423 JUSTIN DR,,,,201506027829,2 FAMILY DWELLING,UNIT LEGALIZATION ORDINANCE 43-14.  LEGALIZE + REMODEL  @ 2ND UNIT/ + REMODEL MAIN HOUSE (KITCHEN RE,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/02/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 9,Bernal Heights,,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED","(37.73195340590, -122.42389581700)"
Crocker Amazon,APN 6447040,Resident,BP ISSUED,12/14/2015,1225 ATHENS ST,,,,201506189331,2 FAMILY DWELLING,"LEGALIZE (E) UNPERMITTED GROUND FLOOR AREA TO A NEW UNIT INCLUDING 2 BEDROOMS, ONE FULL BATH, ONE KI",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/18/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71194697650, -122.43637918800)"
Twin Peaks,APN 2721075,Resident,BP FILED,08/27/2015,166 PALO ALTO AV,,2015-012079PRJ,,201508275422,2 FAMILY DWELLING,"LEGALIZE (E) UNIT ON LOWER LEVEL (418 SQFT). TWO NEW 24"" BOX TREE TO BE ADDED WITH IN THE PUBLIC RIG",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/27/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RH-1(D),"RESIDENTIAL- HOUSE, ONE FAMILY- DETACHED","(37.75700476070, -122.44980670300)"
Excelsior,APN 5891004A,Resident,BP FILED,05/28/2015,175 MAYNARD ST,,,,201505287372,2 FAMILY DWELLING,"UNIT LEGALIZATION ORDINANCE# 43-14. 1 BEDROOM, 1 BATH, 1 KITCHEN. 1 HOUR CORRIDER THROUGH GARAGE. CE",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/28/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72958962090, -122.42660330000)"
Noe Valley,APN 6554037,Resident,BP ISSUED,12/18/2015,325 CLIPPER ST,,,,201504022624,APARTMENTS,LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT.,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/02/2015,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Central,,40-X,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY","(37.74874681930, -122.43226266700)"
Inner Richmond,APN 1561038A,Resident,BP FILED,09/05/2014,500 19TH AV,,,,201409055540,APARTMENTS,"LEGALIZATION OF DWELLING UNIT INSTALLED WITHOUT PERMIT. LEGALIZE EXISTING KITCHEN, BATH ROOM & 2 BED",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/05/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.77826021920, -122.47797299400)"
Ocean View,APN 7050031,Resident,BP FILED,04/10/2015,25 JOSIAH AV,,,,201504103368,2 FAMILY DWELLING,LEGALIZATION OF UNIT PER ORDINANCE 43-14. NO CONSTRUCTION WORK TO BE DONE ON THIS UNIT.,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/10/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 11,Ingleside,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.71838886360, -122.45254158200)"
Outer Richmond,APN 1407046,Resident,BP FILED,04/30/2014,6423 CALIFORNIA ST,,,,201404304602,2 FAMILY DWELLING,(E) 2ND FLOOR RESIDENTIAL UNIT OVER 1ST FLOOR VACANT COMMERCIAL SPACE. CONVERT 1ST FLOOR COMMERCIAL,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/30/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.78356759400, -122.48651124400)"
