NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
South of Market,3788039,345 BRANNAN ST,0,0,04/01/2015 12:00:00 AM,CONSTRUCTION,true,2007.0385,"New construction approx. 69,540-gsf, 4-story, 50' height office building on existing parking lot, with 58-space ground floor parking and street frontage retail space.",,,200810275193,OFFICE,"ERECT A OFFICE, RESTAURANT & PARKING 4 STORIES BUILDING.","ROUGH FRAME, PA",04/01/2015,N,CASE TRACKING,53030,3530,49500,0,0,0,0,53030,0,0,49500,0,3530,0,09/18/2008,MIPS,345 Brannan St,,true,Construction,NA,0,0,Mixed Use,MUO,MIXED USE-OFFICE,65-X,David Silverman,David Silverman,"(37.780971000000001, -122.392906)"
South of Market,8709004,1600 OWENS ST,0,0,02/17/2015 12:00:00 AM,CONSTRUCTION,true,2006.1216,"Section 321 allocation for 228,000 gsf of office development in new 10-story (approximately 160') 245,500 gsf laboratory/office building with ground-floor retail, no on-site parking (off-street parking to be provided on adjacent parcel - Parcel 6).  Miss",Approved,,200711097802,OFFICE,"ERECT 10-STORY, TYPE-1, OFFICE, LAB, RETAIL NEW BUILDING.",REINSPECT REQUI,02/17/2015,N,PERMIT TRACKING,245000,0,245000,0,0,0,0,245000,0,0,245000,0,0,0,09/29/2006,MIPS,1600 Owens St,,true,Construction,NA,0,0,Mixed Use,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,,,"(37.769168999999998, -122.394204)"
Bayview,4829007,1560 WALLACE AV,0,0,02/28/2014 12:00:00 AM,BP APPROVED,true,,,,,201112080359,"WAREHOUSE,NO FRNITUR","ERECT 1 STORY, TYPE 5, WAREHOUSE BUILDING.",APPROVED,02/28/2014,N,PERMIT TRACKING,5000,0,0,0,0,5000,0,5000,0,0,0,5000,0,0,,PDR,1560 Wallace Ave,,true,BP Approved/Issued/Re-Instated,NA,0,0,Industrial,PDR-1-B,PDR LIGHT INDUSTRIAL BUFFER,40-X,,,"(37.727104400000002, -122.390421)"
South of Market,3913005,155 DE HARO STREET,0,0,08/15/2014 12:00:00 AM,PL FILED,false,2013.1520,"The project site consists of a 40,741 square foot lot (Assessor's Block 3913, Lot 005) bound by De Haro Street to the west, Carolina and Channel Street to the east, 15th Street to the south, and Berry Street to the north.  Currently the lot contains two",,12/19/2013,,,,,,N,CASE TRACKING,32330,0,0,0,0,32330,0,15405,0,0,0,15405,0,0,08/15/2014,PDR,155 De Haro St,,false,Planning Filed,NA,0,0,Industrial,PDR-1-D,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - DESIGN",58-X,Harvey Hacker,Harvey Hacker,"(37.768013000000003, -122.401871)"
Potrero Hill,4067012,1512 20TH ST,0,0,10/29/2013 12:00:00 AM,BP FILED,false,2013.1431,Renovation and addition to an existing mixed-use building,,,201310290519,OFFICE,REMOVE (E) ROOF. INCREASE HEIGHT OF (E) 2 STORY BLDG & ADD (N) MEZZ. ADD (N0) ROOF DECK @ SINGLE STO,,,R,CASE TRACKING,4965,2847,2118,0,0,0,0,2762,0,0,1011,0,1751,0,10/07/2013,Mixed,1512 20th St,,false,BP Filed,NA,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,Cary Bernstein,Cary Bernstein,"(37.759929, -122.396316)"
Bayview,5323015A,1425 MENDELL ST,0,0,05/03/2007 12:00:00 AM,BP FILED,true,2007.0331,Demolish existing commercial building and construct a new 5-story commercial office building with retail on the first floor.,Approved,04/23/2012,200705030367,OFFICE,"TO DEMOLISH 2 STORIES OFFICE BUILDING. (200705030363)

TO ERECT 5 STORIES OFFICE BUILDING.",,,N,CASE TRACKING,7031,1406,5625,0,0,0,0,3802,0,0,2396,0,1406,0,05/24/2007,MIPS,1425 Mendell St,,true,BP Filed,NA,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",55-X,Adam Winig,Adam Winig,"(37.734332000000002, -122.390384)"
South of Market,8719002,1351 03RD ST,0,0,01/14/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201110066246,OFFICE,"ERECT 6 STORIES BUILDING OF POLICE HEADQUARTERS, FIRE STATION.",SITE VERIFICATI,01/14/2015,N,PERMIT TRACKING,264000,0,264000,0,0,0,0,264000,0,0,264000,0,0,0,,MIPS,1351 03rd St,,true,Construction,NA,0,0,Mixed Use,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,40-X,,,"(37.768874500000003, -122.3891558)"
Bayview,4352007,1301 CESAR CHAVEZ ST,0,0,01/29/2015 12:00:00 AM,BP ISSUED,true,,,,,200710155436,FILLING/SERVICE STN,"Erect a two stories builing for maintenance and operations facility with admininstrative offices for SFMuni. A-3 for lunch rm; B for Admin. off, locker rms, training conference, T.V. rm; H-4 for welding shop and elec. shop; S-2 for part storage, equip. r",ISSUED,01/29/2015,,PERMIT TRACKING,88564,0,88564,0,0,0,0,81979,0,0,88564,-6585,0,0,,MIPS,1301 Cesar Chavez,,true,BP Approved/Issued/Re-Instated,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",65-J,,,"(37.749980000000001, -122.39003200000001)"
Financial District,3717019,120 HOWARD ST,0,0,06/13/2012 12:00:00 AM,CONSTRUCTION,true,2006.0616,"Three-story, approximately 67,000 square-foot vertical addition to existing 155,000 square-foot nine-story office building.",Approved,07/26/2007,200611178045,OFFICE,"PROPOSED VERTICAL ADDITION REMOVING EXTG PENTHOUSE AND CONSTRUCTING 4 NEW STORIES WITH FULL FLOOR PLATES, NEW STRUCTURE WILL BE STEEL MOMENT FRAME AND MECHANICAL WILL BE VARIABLE AIR VOLUME-REPLACE 3 EXTG ELEVATORS",ROUGH FRAME,06/13/2012,,PERMIT TRACKING,222000,0,222000,0,0,0,0,67000,0,0,67000,0,0,0,05/11/2006,MIPS,120 Howard St,,true,Construction,NA,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),200-S,,,"(37.791509699999999, -122.3928255)"
South of Market,3702046,1127 MARKET ST,0,0,03/06/2015 12:00:00 AM,CONSTRUCTION,true,2012.0370,"The project would renovate the existing 12,300 sf movie theater to a 299-seat live theater with support spaces (dressing rooms, rehearsal space, box office), offices and ground floor restaurant/cafe fronting Market Street.",APPR/WC,10/25/2012,201212115890,THEATER,,"ROUGH FRAME, PA",03/06/2015,N,CASE TRACKING,20000,20000,0,0,0,0,0,7690,0,0,0,0,7690,0,05/02/2012,Retail/Ent,1127 Market St,,true,Construction,NA,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-X,George Hauser,Menka Sethi,"(37.779871999999997, -122.41307)"
Downtown/Civic Center,0694005,1100 VAN NESS AVE,0,-25,04/20/2012 12:00:00 AM,BP FILED,true,2009.0885,"Demolition of the exisitng Cathedral Hill hotel and office building and construction of a 15 story, 265-foot tall hospital on the entire block bounded by Franklin Street, Post STreet, Van Ness Avenue, and Geary Blvd.

Demolition of 7 existing properties",Approved,05/23/2013,201204208807,,TO DEMOLISH 2 STORY RETAIL BUILDING.,,,N,CASE TRACKING,1019848,11087,277873,730888,0,0,0,470833,730888,0,19831,-3480,-63753,-212653,06/10/2010,Mixed,1100 Van Ness Ave,CPMC Hosp Van Ness,true,BP Filed,NA,0,-20,Mixed Use,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",130-V,Geoffrey Nelson,Geoffrey Nelson,"(37.785753, -122.421333)"
Downtown/Civic Center,0351001,1100 MARKET ST,0,0,09/18/2012 12:00:00 AM,PL FILED,false,2012.1123,Renovation of existing Hotel - interior renovation and top floor addition,,,,,,,,R,CASE TRACKING,81015,12209,0,0,0,0,68806,1440,0,0,0,0,3026,-1586,09/18/2012,Visitor,1100 Market St,,false,Planning Filed,NA,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-X,Daniel Frattin,Daniel Frattin,"(37.780707399999997, -122.4125528)"
Downtown/Civic Center,3703066,1053 MARKET ST,0,0,06/16/2014 12:00:00 AM,PL FILED,false,2014.0408,The proposed project would demolish an existing commercial building and construct a 10-story tourist hotel with 155 rooms with a ground floor retail space.,,,,,,,,N,CASE TRACKING,74000,4000,0,0,0,0,70000,65755,0,0,0,0,-4245,70000,06/16/2014,Visitor,1053 Market St,,false,Planning Filed,NA,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,90-X,Michael Stanton,Lisa Zhuo,"(37.782128999999998, -122.410382)"
Mission,4154001,1001 POTRERO AV,0,0,11/19/2014 12:00:00 AM,CONSTRUCTION,true,2007.0603,"Rebuild of SF General Hospital (SFGH) to new requirements, part of IMP: new 419,070-sf acute acre hospital building, 105-ft in height, and reuse of 129,706-sf Building 5, equivalent to existing hospital use capacity, with no proposed parking.",APPR/WC,11/20/2008,200901230738,OFFICE,,REINFORCING STE,11/19/2014,,CASE TRACKING,548776,0,0,548776,0,0,0,419070,419070,0,0,0,0,0,09/18/2008,CIE,1001 Potrero Ave,,true,Construction,NA,0,0,Public,P,PUBLIC,105-E,Tsang Arc,Tsang Arc,"(37.756705199999999, -122.4043925)"
South of Market,8724001,1825 OWENS STREET,0,0,10/13/2010 12:00:00 AM,CONSTRUCTION,true,,,,,,HOSPITAL,,,,,manual-no BPA,1800500,0,0,0,1800500,0,0,1800500,0,1800500,0,0,0,0,,MED,2 Owens St,UCSF Medical Center,true,Construction,NA,0,0,Mixed Use,MB-RA,SEE MISSION BAY SOUTH REDEVELOPMENT PLAN,MB-RA,,,"(37.771028999999999, -122.396181)"
Visitacion Valley,6360001,60 BURR AV,0,0,10/27/2011 12:00:00 AM,BP ISSUED,true,2009.0047,,,,201002236998,SWIMMING POOL,CONSTRUCTION OF A 1 STORY ATTACHED BUILDING TO ENCLOSE EXISTING SWIMMING POOL AND IMPROVEMENT TO EXI,ISSUED,10/27/2011,R,PERMIT TRACKING,4624,0,0,4624,0,0,0,4624,4624,0,0,0,0,0,,CIE,60 Burr Ave,,true,BP Approved/Issued/Re-Instated,NA,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.709834499999999, -122.4142605)"
Outer Sunset,1877034,1566 32ND AV,0,-1,05/07/2014 12:00:00 AM,BP FILED,false,2013.0385,Conditional Use Authorization to convert a dwelling unit to a child care facility with over 15 per P.C. Sec. 209.3(f) and a Variance to the parking requirement of P.C. Sec. 151,,,201405075171,DAY CARE HOME GT 12,CONVERSION OF (E) DWELLING TO BE USED FOR PRESCHOOL (DAYCARE) IN CONJUCTION WITH CONDITIONAL USE PERMIT APPLICATION# 2013:124B.,,,R,PERMIT TRACKING,2040,0,0,2040,0,0,0,2040,2040,0,0,0,0,0,,CIE,1566 32nd Ave,,false,BP Filed,NA,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.757818, -122.49054700000001)"
West of Twin Peaks,2979A021A,99 WEST PORTAL AV,0,0,03/25/2013 12:00:00 AM,CONSTRUCTION,true,2008.1161,Expansion of existing dental office to lower street level to provide access from West Portal Avenue.,Approved,05/14/2009,201203287036,CLINICS-MEDIC/DENTAL,,CEILING INSPECT,03/25/2013,R,CASE TRACKING,4000,0,4000,0,0,0,0,2000,0,0,2000,0,0,0,10/02/2008,MIPS,99 West Portal Ave,,true,Construction,NA,0,0,Mixed Use,NCD,WEST PORTAL AVENUE NEIGHBORHOOD COMMERCIAL,26-X,Ramiro & Irma Castro,Ramiro & Irma Castro,"(37.739726099999999, -122.4666302)"
South of Market,3704071,949 MARKET STREET,0,0,02/25/2015 12:00:00 AM,CONSTRUCTION,true,2008.0217,"Section 309 Review Required with one exception (freight loading) request. Conditional Use Authorization request to exceed allowable accessory parking per Section 303, 157 and 158.  Variances requested per Section 102.11 to allow modification of gross flo",GRANTED WITH CO,11/15/2010,201011084497,RETAIL SALES,,START WORK,02/25/2015,,CASE TRACKING,367000,367000,0,0,0,0,0,237300,0,0,-74700,0,312000,0,02/22/2008,Retail/Ent,949 Market St,,true,Construction,NA,0,0,Commercial,C-3-G,DOWNTOWN- GENERAL,120-X,DWI Devel,Reuben &,"(37.782702999999998, -122.408998)"
Bayview,5597A001,928 TOLAND ST,0,0,01/23/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201301248656,OFFICE,TO ERECT 1 STORY COMMERCIAL BUILDING.,REINFORCING STE,01/23/2015,N,PERMIT TRACKING,5500,0,0,0,0,5500,0,5500,0,0,0,5500,0,0,,PDR,928 Toland St,,true,Construction,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",65-J,,,"(37.741474599999997, -122.4013514)"
Potrero Hill,4059010,851 TENNESSEE ST,0,0,06/11/2013 12:00:00 AM,PL FILED,false,2013.0775,Construct new school,,,,,,,,N,CASE TRACKING,2709,2709,0,0,0,0,0,2709,0,0,0,0,2709,0,06/11/2013,Retail/Ent,851 Tennessee St,,false,Planning Filed,NA,0,0,Mixed Use,UMU,URBAN MIXED USE,58-X,Ahmad Larizadeh,Ahmad Larizadeh,"(37.761021900000003, -122.389239)"
South of Market,3774072,85 FEDERAL ST,0,0,06/20/2013 12:00:00 AM,BP FILED,false,2012.1410,"The proposed project is to demolish two story existing office buildings and new construction of a 5 story, 65-foot tall, commercial building with retail (fitness facility) at the ground-floor and basement level, and office use on the upper four-floors.",,,201306200082,OFFICE,ERECT 5-STORY COMMERCIAL & RETAIL NEW BUILDING.,,,N,PERMIT TRACKING,35000,7000,28000,0,0,0,0,25884,0,0,18884,0,7000,0,,MIPS,85 Federal St,,false,BP Filed,NA,0,0,Mixed Use,MUO,MIXED USE-OFFICE,65-X,,,"(37.783008600000002, -122.3926014)"
South of Market,3786018,85 BLUXOME ST,0,0,03/25/2015 12:00:00 AM,CONSTRUCTION,true,2013.0007,Project involves demolition of existing two-story masonry building and construction of a new five-story office building.,Approved,02/20/2014,201404072588,OFFICE,TO ERECT 5 STORIES OF OFFICE BUILDING - COMPLIANCE WITH MAHER ORDINANCE NO.155-13 REQUIRED ROUTE TO,REINFORCING STE,03/25/2015,R,CASE TRACKING,55000,0,55000,0,0,0,0,5354,0,0,33000,-27646,0,0,05/16/2013,MIPS,85 Bluxome St,,true,Construction,NA,0,0,Mixed Use,WMUO,WSOMA MIXED USE-OFFICE,65-X,Ricardo Pimienta,K. Cyrus Sanandaji,"(37.776224200000001, -122.3974956)"
Chinatown,0192014,835-845 JACKSON ST,0,0,07/12/2012 12:00:00 AM,PL APPROVED,true,2008.0762,"Hospital Replacement and expansion, adding 68,010 gsf total, building new seven-story acute care hospital, moving medical office building uses to existing five-story hospital, and demolishing existing Chinese Hospital and Chinese Hospital Garage (MOB and",APPR/WC,07/12/2012,,,,,,R,CASE TRACKING,140990,0,0,140990,0,0,0,68010,68010,0,0,0,0,0,06/26/2008,CIE,845 Jackson St,Chinese Hospital,true,PL Approved,NA,0,0,Mixed Use,CRNC,CHINATOWN- RESIDENTIAL- NEIGHBORHOOD COMMERCIAL,65-N,Brenda Yee,Wayne Hu,"(37.795692600000002, -122.4092984)"
South of Market,3774071,77 & 85 FEDERAL STREET,0,0,03/26/2013 12:00:00 AM,PL FILED,false,2012.1410,"The proposed project is to demolish two story existing office buildings and new construction of a 5 story, 65-foot tall, commercial building with retail (fitness facility) at the ground-floor and basement level, and office use on the upper four-floors.",,,201306200082,OFFICE,,,,N,CASE TRACKING,72093,22363,49730,0,0,0,0,54977,0,0,32614,0,22363,0,03/26/2013,Mixed,77 Federal St,,false,Planning Filed,NA,0,0,Mixed Use,MUO,MIXED USE-OFFICE,65-X,David Yocke,David Yocke,"(37.782670799999998, -122.3930944)"
Financial District,0165022,717 BATTERY ST,0,0,12/01/2008 12:00:00 AM,BP FILED,false,2007.1460,"Two story penthouse addition to three-story office building, for office use, new three-story bldg of 9,000-gsf office over retail; 24,870-sf additions to historic Musto Bldg.",Withdrawn,,200812017534,OFFICE,"ALTERNATION TO EXISTING BUILD, NEW 2 STORY VERTICAL ADDITION ON THE EXISTING BUILD, 3 STORY HORIZONT",,,R,CASE TRACKING,59700,3000,56700,0,0,0,0,27870,0,0,24870,0,3000,0,02/18/2009,MIPS,717 Battery St,,false,BP Filed,NA,0,0,Commercial,C-2,COMMUNITY BUSINESS,65-A,Sean Murphy,Neil Sekhri,"(37.797882000000001, -122.401285)"
North Beach,0074001,701 LOMBARD ST,0,0,02/03/2014 12:00:00 AM,CONSTRUCTION,true,2008.0968,"Library Bond project combined with Park Plan.  Project includes new library on the lot at the corner of Columbus & Lombard Streets (0074/001), demolition of existing branch library, and plan for reorganization and improvements to Joe DiMaggio Playground",,,201109235397,LIBRARY,ERECT 2-STORY PUBLIC BRANCH LIBRARY,"LATH, EXTERIOR",02/03/2014,,CASE TRACKING,8900,0,0,8900,0,0,0,3563,3563,0,0,0,0,0,09/01/2009,CIE,701 Lombard St,,true,Construction,NA,0,0,Mixed Use,NCD,NORTH BEACH NEIGHBORHOOD COMMERCIAL,40-X,Bruce Bau,Bruce Bau,"(37.802619, -122.41321000000001)"
Outer Mission,3115043,625 MONTEREY BL,0,0,05/26/2010 12:00:00 AM,PL FILED,false,2010.0401,"The proposed project is the expansion of an existing grocery store from 19,344 sq.ft. to 40,722 sq.ft., and from 62 parking spaces to 92 parking spaces. Additionally, modifications to the existing public right-of-way and street median are planned to acco",,,,,,,,N,CASE TRACKING,40722,33817,6905,0,0,0,0,21378,0,0,6905,0,14473,0,05/26/2010,Retail/Ent,625 Monterey Blvd,,false,Planning Filed,NA,0,0,Mixed Use,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",32-X,Fred Ponce,Fred Ponce,"(37.731231000000001, -122.449551)"
South of Market,3778047,610-620 BRANNAN STREET,0,0,06/14/2014 12:00:00 AM,PL APPROVED,true,2014.0416,"The proposed project would demolish a paved lot and an existing 3 single-story buildings to erect an approximately 160 ft. tall (620,000 sf) office building (""600 Brannan"" project) with public open space, PDR uses, street-facing retail, and subsurface pa",Approved,06/14/2014,,,,,,N,CASE TRACKING,560682,17528,536607,0,0,6547,0,526802,0,0,526807,-17533,17528,0,06/19/2014,MIPS,1042 Brannan St,,true,PL Approved,NA,0,0,Industrial,PDR-1-G,"PRODUCTION, DISTRIBUTION & REPAIR - 1 - GENERAL",40/55-X,Dan Kingsley,Steve Shanks,"(37.769629000000002, -122.407381)"
South of Market,3788042,333 BRANNAN ST (AKA 329 BRANNAN ST),0,0,08/15/2013 12:00:00 AM,PL APPROVED,true,2012.0906,"Demolish a surface parking lot and two industrial bldgs totaling 13,740 sf; and construct a 65-foot tall, six-story building with 175,881 sf of office, 2,572 sf of ground-floor retail along Brannan Street,  and 72 below-ground parking spaces (44 valet, 3",Approved,08/15/2013,,,,,,R,CASE TRACKING,175881,0,175881,0,0,0,0,162141,0,0,175881,-13740,0,0,10/19/2012,MIPS,329 Brannan St,,true,PL Approved,NA,0,0,Mixed Use,MUO,MIXED USE-OFFICE,65-X,John Kevlin,John Kevlin,"(37.780918, -122.39241699999999)"
Excelsior,6044007,450 SOMERSET ST,0,0,08/11/2014 12:00:00 AM,BP FILED,false,2013.1516,"Conditional Use Authorization for a project consisting of the construction of a 3-story bldg. (40 ft. tall) with a roof deck on a site with an existing school bldg. (which will remain) and site improvements.  The new bldg. will house 21,000 sq.ft. of cla",,,201408113568,SCHOOL,Multiple Permits,,,R,CASE TRACKING,43629,0,0,43629,0,0,0,21055,21055,0,0,0,0,0,05/22/2014,CIE,450 Somerset St,,false,BP Filed,NA,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,John Conomos,Chris Kalos,"(37.725822999999998, -122.407359)"
Bayview,5419005,1636 ARMSTRONG AV,0,-1,04/08/2010 12:00:00 AM,CONSTRUCTION,true,2001.1089,V FOR OFF-STREET PARKING: NO PARKING PROPOSED FOR THE CONSTRUCTION OF NEW CHURCH,Withdrawn,01/16/2002,200302288512,CHURCH,ERECT A 2 STORY CHURCH CENTER.,START WORK,04/08/2010,,CASE TRACKING,7500,0,0,7500,0,0,0,7500,7500,0,0,0,0,0,11/15/2001,CIE,1636 Armstrong Ave,,true,Construction,NA,0,0,Industrial,PDR-1-B,PDR LIGHT INDUSTRIAL BUFFER,40-X,JOHN SCHL,Chris Fol,"(37.726618000000002, -122.392636)"
Financial District,0269028,350 BUSH ST,0,0,01/23/2015 12:00:00 AM,CONSTRUCTION,true,2000.541,"Demolition of buildings, except for the Mining Exchange Bldg. at 350 Bush St., which would be converted to retail use.  Then new construction of a 19-story office bldg. w/ 20,400 sq. ft. of retail space in two galleria levels, 344,540 sq. ft. of office s",Approved,11/08/2001,200708078938,OFFICE,ERECT 20 STORIES 3 BASEMENTS OFFICE BLDG.,REINFORCING STE,01/23/2015,,CASE TRACKING,347300,7300,340000,0,0,0,0,347300,0,0,340000,0,7300,0,01/10/2001,MIPS,350 Bush St,,true,Construction,NA,0,0,Commercial,C-3-O,DOWNTOWN- OFFICE,250-S,Russ Buil,Russ Buil,"(37.790950299999999, -122.4033756)"
Financial District,3710017,350 MISSION ST,0,0,03/31/2015 12:00:00 AM,CONSTRUCTION,true,2006.1524,"The project site is occupied by a four-story building with approximately 95,000 sq. ft. of office, retail, and acessory uses. The proposed project would demolish the existing building and construct a 28-story, 455' ft high office tower consisting of 503,",Approved,04/20/2011,201108011461,OFFICE,"TO ERECT 27 STORIES, OFFICE, RETAIL & PARKING BUILDING.",NO ENTRY/NO PRO,03/31/2015,,CASE TRACKING,510300,7300,503000,0,0,0,0,415603,0,0,431303,0,-15700,0,11/19/2008,MIPS,350 Mission St,,true,Construction,NA,0,0,Commercial,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),450-S,James Cunningham,Joel Yodowitz,"(37.790809000000003, -122.39637399999999)"
Bernal Heights,6575001,3615 CESAR CHAVEZ ST,0,0,07/11/2013 12:00:00 AM,PL APPROVED,true,2009.0886,"Construction of a new 145,000 sq.ft. St. Luke's Hospital at a height of 114 feet (6 stories); demolition of the existing St. Luke's Hospital after the new hospital is operational, and construction of a new medical office building/future expansion buildin",Approved,07/11/2013,,,,,,,CASE TRACKING,533115,0,220000,313115,0,0,0,164617,-52983,0,217600,0,0,0,,Mixed,1101 Van Ness Ave,CPMC - ST. LUKE'S HOSPITAL,true,PL Approved,NA,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",105-E,,,"(37.747692000000001, -122.420936)"
Bayview,5598006,367 BAY SHORE BL,0,0,03/25/2015 12:00:00 AM,CONSTRUCTION,true,2011.1203,,,,201101208739,CAR WASH,"TO ERECT 2 STORIES, CAR WASH / COMMERCIAL BUILDING.",REINFORCING STE,03/25/2015,N,PERMIT TRACKING,10000,5000,0,0,0,5000,0,10000,0,0,0,5000,5000,0,,Mixed,367 Bayshore Blvd,,true,Construction,NA,0,0,Industrial,PDR-2,"PDR PRODUCTION, DISTRIBUTION, AND REPAIR",65-J,,,"(37.741408999999997, -122.405604)"
South of Market,3784015,603 7TH STREET,0,0,11/18/2013 12:00:00 AM,BP ISSUED,true,2012.0559,"Demolish existing structure adn construct new 5,500sf or retail space.\",,,201204248957,RETAIL SALES,,ISSUED,11/18/2013,N,CASE TRACKING,6500,6500,0,0,0,0,0,4666,0,0,0,0,4666,0,04/26/2012,Retail/Ent,603 07th St,,true,BP Approved/Issued/Re-Instated,NA,0,0,Industrial,SALI,SERVICE/ARTS/LIGHT INDUSTRIAL,40/55-X,Dayna Desmond,Dayna Desmond,"(37.773029000000001, -122.40284800000001)"
South of Market,3757045,44 MCLEA CT,0,0,03/26/2008 12:00:00 AM,BP FILED,false,,,,,200803268024,OFFICE,VERTICAL ADDITION OF 3RD FLOOR OFFICE SPACE AND MEZZANINE AND INTERIOR RENOVATION TO INCLUDE RESTROO,,,R,PERMIT TRACKING,6075,0,6075,0,0,0,0,2025,0,0,2025,0,0,0,,MIPS,44 McLea Court,,false,BP Filed,NA,0,0,Industrial,SALI,SERVICE/ARTS/LIGHT INDUSTRIAL,40/55-X,,,"(37.772124499999997, -122.40889060000001)"
South of Market,3799001,601 TOWNSEND ST,0,0,05/10/2012 12:00:00 AM,PL APPROVED,true,2011.1147,"Conversion of basement level into office (approx. 72,600 sf of 288,458 gsf). Currently, the building possesses 215,858 sf of office use.",Approved,05/10/2012,,,,,,R,CASE TRACKING,288458,0,288458,0,0,0,0,72600,0,0,72600,0,0,0,10/13/2011,MIPS,601 Townsend St,,true,PL Approved,NA,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,John Kelvin,John Kelvin,"(37.771372800000002, -122.4020173)"
Inner Richmond,1368049,4614 CALIFORNIA ST,0,0,01/23/2007 12:00:00 AM,BP FILED,true,2002.0605,"Demolition of 4620 and 4614 California Street, and the construction of a new pre-school and administration building.",Approved,01/22/2004,200701232361,OFFICE,TO ERECT FOUR STORY PRE-SCHOOL AND ADMINISTRATION NEW BUILDING,,,,CASE TRACKING,10760,0,0,10760,0,0,0,3500,3500,0,0,0,0,0,05/28/2003,Mixed,4614 California St,,true,BP Filed,NA,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,St. James,St. James,"(37.784939000000001, -122.467201)"
